date,rub_eur,rub_gbp,rub_usd
2022-02-24,0.0105,0.0088,0.0118
2022-02-25,0.0106,0.0089,0.0119
2022-02-26,0.0106,0.0089,0.0119
2022-02-27,0.0107,0.0089,0.012
2022-02-28,0.0085,0.0071,0.0095
2022-03-01,0.0083,0.0069,0.0092
2022-03-02,0.0088,0.0073,0.0097
2022-03-03,0.0083,0.0068,0.0091
2022-03-04,0.0074,0.0061,0.0081
2022-03-05,0.0088,0.0072,0.0096
2022-03-06,0.0082,0.0068,0.0089
2022-03-07,0.0065,0.0053,0.007
2022-03-08,0.0071,0.0059,0.0077
2022-03-09,0.0065,0.0055,0.0072
2022-03-10,0.0068,0.0057,0.0075
2022-03-11,0.0068,0.0057,0.0075
2022-03-12,0.0068,0.0057,0.0075
2022-03-13,0.0069,0.0058,0.0075
2022-03-14,0.0076,0.0064,0.0083
2022-03-15,0.0084,0.0071,0.0092
2022-03-16,0.009,0.0075,0.0099
2022-03-17,0.0087,0.0074,0.0097
2022-03-18,0.0084,0.0071,0.0093
2022-03-19,0.0084,0.0071,0.0093
2022-03-20,0.0071,0.006,0.0079
2022-03-21,0.0085,0.0071,0.0094
2022-03-22,0.0086,0.0071,0.0094
2022-03-23,0.0094,0.0078,0.0103
2022-03-24,0.0089,0.0074,0.0098
2022-03-25,0.0089,0.0074,0.0098
2022-03-26,0.0089,0.0074,0.0098
2022-03-27,0.0091,0.0076,0.0099
2022-03-28,0.0095,0.008,0.0104
2022-03-29,0.0103,0.0087,0.0114
2022-03-30,0.0107,0.0091,0.012
2022-03-31,0.011,0.0093,0.0122
2022-04-01,0.0106,0.0089,0.0117
2022-04-02,0.0106,0.0089,0.0117
2022-04-03,0.0106,0.0089,0.0117
2022-04-04,0.0109,0.0091,0.0119
2022-04-05,0.0109,0.0091,0.0119
2022-04-06,0.0112,0.0093,0.0122
2022-04-07,0.0116,0.0097,0.0126
2022-04-08,0.0114,0.0095,0.0124
2022-04-09,0.0114,0.0095,0.0124
2022-04-10,0.0114,0.0095,0.0124
2022-04-11,0.011,0.0092,0.012
2022-04-12,0.0108,0.009,0.0117
2022-04-13,0.0112,0.0093,0.0122
2022-04-14,0.0112,0.0093,0.0121
2022-04-15,0.0115,0.0095,0.0124
2022-04-16,0.0115,0.0095,0.0124
2022-04-17,0.0112,0.0093,0.0122
2022-04-18,0.0114,0.0095,0.0123
2022-04-19,0.0114,0.0095,0.0123
2022-04-20,0.0111,0.0092,0.0121
2022-04-21,0.0114,0.0095,0.0124
2022-04-22,0.012,0.0101,0.0129
2022-04-23,0.012,0.0101,0.0129
2022-04-24,0.012,0.0101,0.0129
2022-04-25,0.0124,0.0104,0.0133
2022-04-26,0.0127,0.0107,0.0135
2022-04-27,0.0128,0.0108,0.0135
2022-04-28,0.0131,0.011,0.0137
2022-04-29,0.0133,0.0111,0.014
2022-04-30,0.0133,0.0111,0.014
2022-05-01,0.0133,0.0111,0.014
2022-05-02,0.0135,0.0113,0.0141
2022-05-03,0.0141,0.0119,0.014
